instance	k	algorithm	evaluations	value	time	steps
G62.02	4	EBF	5835	11.0	0.14399433135986328	18
G62.02	4	EBF	5030	7.0	0.13598346710205078	17
G62.02	4	EBF	6730	6.0	0.19199419021606445	23
G62.02	4	EBF	7293	8.0	0.18399810791015625	16
G62.02	4	EBF	7597	6.0	0.18399810791015625	18
G62.02	4	EG	18444	6.0	0.48000073432922363	10
G62.02	4	EG	21518	8.0	0.5111250877380371	12
G62.02	4	EG	19981	6.0	0.5279746055603027	11
G62.02	4	EG	19981	6.0	0.5040009021759033	11
G62.02	4	EG	19981	7.0	0.49602317810058594	11
G62.02	4	EG	21518	5.0	0.5359790325164795	12
G62.02	4	EG	18444	8.0	0.4719974994659424	10
G62.02	4	EG	18444	8.0	0.4408450126647949	10
G62.02	4	EG	18444	9.0	0.46399998664855957	10
G62.02	4	EG	19981	7.0	0.4797329902648926	11
G62.02	4	ES	25043	6.0	0.7040252685546875	17
G62.02	4	ES	13726	7.0	0.3523218631744385	21
G62.02	4	ES	32716	9.0	0.9679751396179199	21
G62.02	4	ES	6862	3.0	0.17599940299987793	19
G62.02	4	ES	6050	9.0	0.1600043773651123	16
G62.02	4	ES	6818	6.0	0.160020112991333	17
G62.02	4	ES	6892	3.0	0.16797113418579102	23
G62.02	4	ES	19296	7.0	0.5600302219390869	21
G62.02	4	ES	13049	9.0	0.32798147201538086	19
G62.02	4	ES	6486	6.0	0.16866350173950195	18
G62.02	4	EPNES	8347	6.0	0.255993127822876	17
G62.02	4	EPNES	6095	7.0	0.19999957084655762	18
G62.02	4	EPNES	6596	8.0	0.21602821350097656	19
G62.02	4	EPNES	6756	8.0	0.20797491073608398	17
G62.02	4	EPNES	9341	5.0	0.2718803882598877	21
G62.02	4	EPNES	7564	8.0	0.24797487258911133	21
G62.02	4	EPNES	9702	7.0	0.3840031623840332	18
G62.02	4	EPNES	5592	6.0	0.19201946258544922	19
G62.02	4	EPNES	5209	4.0	0.2002546787261963	24
G62.02	4	EPNES	4577	9.0	0.16802525520324707	17
